EMGC_1-1_GL0000006	ko:K08094	ko00030,ko00680,ko01100,ko01120,ko01200,ko01230,map00030,map00680,map01100,map01120,map01200,map01230	M00345,M00580	R05339,R09780	RC00377	ko00000,ko00001,ko00002,ko01000	-	-
EMGC_1-1_GL0000007	ko:K01783	ko00030,ko00040,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00040,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00004,M00007	R01529	RC00540	ko00000,ko00001,ko00002,ko01000	-	-
EMGC_1-1_GL0000025	ko:K09125	-	-	-	-	ko00000	-	-
EMGC_1-1_GL0000028	ko:K02040	ko02010,ko02020,ko05152,map02010,map02020,map05152	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-
EMGC_1-1_GL0000111	ko:K02004	-	M00258,M00345	-	-	ko00000,ko00002,ko02000	3.A.1	-
EMGC_1-1_GL0000132	ko:K01776	ko00471,ko01100,map00471,map01100	-	R00260	RC00302	ko00000,ko00001,ko01000,ko01011	-	-
EMGC_1-1_GL0000134	ko:K06142	-	-	-	-	ko00000	-	-
EMGC_1-1_GL0000135	ko:K07277	-	-	-	-	ko00000,ko02000,ko03029	1.B.33	-
EMGC_1-1_GL0000140	ko:K02493	-	-	R10806	RC00003,RC03279	ko00000,ko01000,ko03012	-	-
EMGC_1-1_GL0000141	ko:K03565	-	-	-	-	ko00000,ko03400	-	-
EMGC_1-1_GL0000148	ko:K04068	-	-	R04710	-	ko00000,ko01000	-	-
EMGC_1-1_GL0000160	ko:K05592	ko03018,map03018	-	-	-	ko00000,ko00001,ko01000,ko03009,ko03019	-	-
EMGC_1-1_GL0000164	ko:K02519	-	-	-	-	ko00000,ko03012,ko03029	-	-
EMGC_1-1_GL0000165	ko:K00950	ko00790,ko01100,map00790,map01100	M00126,M00841	R03503	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-
EMGC_1-1_GL0000166	ko:K03070	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.10,3.A.5.2,3.A.5.4	-
